Use?,Notes,Category,Question,Short name,Include,Grouping Required,l1,l2,r1,r2,Col to show,Y-axis Label,Title
3,,,Agree or disagree with (historical record balanced B) message,QA_11_w2,Yes,No,,,,,mean,Mean Score,"America is exceptional because of the ideals it was built on: freedom, opportunity, and equality. But just believing in these ideals is not enough to achieve them. Americans need to treat each other with dignity and respect, regardless of their race, their religious beliefs, or who they voted for. When Americans are not made to feel ashamed of who they are or what they believe, our nation gets closer to achieving those founding ideals."
3,,,Agree or disagree with (historical record conservative) message,QA_12_w2,Yes,No,,,,,mean,Mean Score,"Respect isn't something you are owed, it's something you earn. In America, we don't worry or think about your skin color, your religion, or where you came from. America is unique because it provides a life of dignity to anyone of strong character, who works hard for their family and follows the law."
3,,,Agree or disagree with (responsibility and potentialism) message,QA_13_w2,Yes,No,,,,,mean,Mean Score,"America should be built on a deal of rights and responsibilities. The country should guarantee its citizens what they need to live up to their full potential: education, opportunity, and dignity. People in turn have a responsibility to use that potential to improve themselves and give back to their country and their community."
3,,,How much do you feel like you belong in America?,american_id_rul,Include,No,,,,,mean,Mean Score,How much do you feel like you belong in America?
3,,,Affective polarization - Group 1 -- Supporters of Donald Trump,affect_1_1,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Supporters of Donald Trump
3,,,Affective polarization - Group 1 -- Supporters of Joe Biden,affect_1_2,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Supporters of Joe Biden
3,,,Affective polarization - Group 1 -- Republicans,affect_1_3,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Republicans
3,,,Affective polarization - Group 1 -- Democrats,affect_1_4,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Democrats
3,,,Affective polarization - Group 1 -- Progressives,affect_1_5,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Progressives
3,,,Affective polarization - Group 1 -- Conservatives,affect_1_6,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Conservatives
3,,,Affective polarization - Group 1 -- Southerners,affect_1_7,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Southerners
3,,,Affective polarization - Group 1 -- Midwesterners,affect_1_8,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Midwesterners
3,,,Affective polarization - Group 1 -- West Coast Americans,affect_1_9,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: West Coast Americans
3,,,Affective polarization - Group 1 -- Northeast Americans,affect_1_10,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Northeast Americans
3,,,Affective polarization - Group 1 -- George Washington,affect_1_11,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: George Washington
3,,,Affective polarization - Group 2 -- Donald Trump,affect_2_1,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Donald Trump
3,,,Affective polarization - Group 2 -- Barack Obama,affect_2_2,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Barack Obama
3,,,Affective polarization - Group 2 -- Joe Biden,affect_2_3,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Joe Biden
3,,,Affective polarization - Group 2 -- Mitch McConnell,affect_2_4,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Mitch McConnell
3,,,Affective polarization - Group 2 -- Nancy Pelosi,affect_2_5,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Nancy Pelosi
3,,,Affective polarization - Group 2 -- US military veterans,affect_2_6,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: US military veterans
3,,,"Affective polarization - Group 2 -- Pastors, priests and other religious leaders",affect_2_7,Include,No,,,,,mean,Mean Score,"How warm or cold do you feel towards: Pastors, priests and other religious leaders"
3,,,Affective polarization - Group 2 -- Social media influencers,affect_2_8,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Social media influencers
3,,,Affective polarization - Group 2 -- American women,affect_2_9,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: American women
3,,,Affective polarization - Group 2 -- American men,affect_2_10,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: American men
3,,,Affective polarization - Group 2 -- Abraham Lincoln,affect_2_11,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Abraham Lincoln
3,,,Affective polarization - Group 3 -- Baby Boomers (born 1946-1964),affect_3_1,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Baby Boomers (born 1946-1964)
3,,,Affective polarization - Group 3 -- Gen X (born 1965-1980),affect_3_2,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Gen X (born 1965-1980)
3,,,Affective polarization - Group 3 -- Millennials (born 1981-1996),affect_3_3,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Millennials (born 1981-1996)
3,,,Affective polarization - Group 3 -- Gen Z (born 1997-2012),affect_3_4,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Gen Z (born 1997-2012)
3,,,Affective polarization - Group 3 -- Lesbian and gay people,affect_3_5,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Lesbian and gay people
3,,,Affective polarization - Group 3 -- Black Lives Matter activists,affect_3_6,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Black Lives Matter activists
3,,,Affective polarization - Group 3 -- Feminists,affect_3_7,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Feminists
3,,,Affective polarization - Group 3 -- Journalists and news reporters,affect_3_8,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Journalists and news reporters
3,,,Affective polarization - Group 3 -- Doctors and nurses,affect_3_9,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Doctors and nurses
3,,,Affective polarization - Group 3 -- Police officers,affect_3_10,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Police officers
3,,,Affective polarization - Group 3 -- Franklin Delano Roosevelt,affect_3_11,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Franklin Delano Roosevelt
3,,,Affective polarization - Group 4 -- Evangelical Christians,affect_4_1,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Evangelical Christians
3,,,Affective polarization - Group 4 -- Muslim Americans,affect_4_2,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Muslim Americans
3,,,Affective polarization - Group 4 -- White Americans,affect_4_3,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: White Americans
3,,,Affective polarization - Group 4 -- Hispanic Americans,affect_4_4,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Hispanic Americans
3,,,Affective polarization - Group 4 -- Black Americans,affect_4_5,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Black Americans
3,,,Affective polarization - Group 4 -- Asian Americans,affect_4_6,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Asian Americans
3,,,Affective polarization - Group 4 -- Gun owners,affect_4_7,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Gun owners
3,,,Affective polarization - Group 4 -- National Rifle Association members,affect_4_8,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: National Rifle Association members
3,,,Affective polarization - Group 4 -- Refugees,affect_4_9,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Refugees
3,,,Affective polarization - Group 4 -- Immigrants,affect_4_10,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Immigrants
3,,,Affective polarization - Group 4 -- Barack Obama,affect_4_11,Include,No,,,,,mean,Mean Score,How warm or cold do you feel towards: Barack Obama
3,,,Meta Perceptions thermometer -- How do Muslim Americans feel towards people like you,meta_1,Include,No,,,,,mean,Mean Score,How do Muslim Americans feel towards people like you
3,,,Meta Perceptions thermometer -- How do Hispanic Americans feel towards people like you,meta_2,Include,No,,,,,mean,Mean Score,How do Hispanic Americans feel towards people like you
3,,,Meta Perceptions thermometer -- How do Asian Americans feel towards people like you,meta_3,Include,No,,,,,mean,Mean Score,How do Asian Americans feel towards people like you
3,,,Meta Perceptions thermometer -- How do Black Americans feel towards people like you,meta_4,Include,No,,,,,mean,Mean Score,How do Black Americans feel towards people like you
3,,,Meta Perceptions thermometer -- How do White Americans feel towards people like you,meta_5,Include,No,,,,,mean,Mean Score,How do White Americans feel towards people like you
3,,,Meta Perceptions thermometer -- How do American Women feel towards people like you,meta_6,Include,No,,,,,mean,Mean Score,How do American Women feel towards people like you
3,,,Meta Perceptions thermometer -- How do American Men feel towards people like you,meta_7,Include,No,,,,,mean,Mean Score,How do American Men feel towards people like you
3,,,Meta Perceptions thermometer -- How do Baby Boomers (born 1946-1964) feel towards people like you,meta_8,Include,No,,,,,mean,Mean Score,How do Baby Boomers (born 1946-1964) feel towards people like you
3,,,Meta Perceptions thermometer -- How does Gen X (born 1965-1980) feel towards people like you,meta_9,Include,No,,,,,mean,Mean Score,How does Gen X (born 1965-1980) feel towards people like you
3,,,Meta Perceptions thermometer -- How do Millennials (born 1981-1996) feel towards people like you,meta_10,Include,No,,,,,mean,Mean Score,How do Millennials (born 1981-1996) feel towards people like you
3,,,Meta Perceptions thermometer -- How does Gen Z (born 1997-2012) feel towards people like you,meta_11,Include,No,,,,,mean,Mean Score,How does Gen Z (born 1997-2012) feel towards people like you
3,,,Meta Perceptions thermometer -- How do Republicans feel towards people like you,meta_12,Include,No,,,,,mean,Mean Score,How do Republicans feel towards people like you
3,,,Meta Perceptions thermometer -- How do Democrats feel towards people like you,meta_13,Include,No,,,,,mean,Mean Score,How do Democrats feel towards people like you
3,,,Meta Perceptions thermometer -- How do Progressives feel towards people like you,meta_14,Include,No,,,,,mean,Mean Score,How do Progressives feel towards people like you
3,,,Meta Perceptions thermometer -- How do Conservatives feel towards people like you,meta_15,Include,No,,,,,mean,Mean Score,How do Conservatives feel towards people like you
3,,,Meta Perceptions thermometer -- How do supporters of Donald Trump feel towards people like you,meta_16,Include,No,,,,,mean,Mean Score,How do supporters of Donald Trump feel towards people like you
3,,,Meta Perceptions thermometer -- How do supporters of Joe Biden feel towards people like you,meta_17,Include,No,,,,,mean,Mean Score,How do supporters of Joe Biden feel towards people like you
